user_id, gender, age, country, subscription_type, listening_time, songs_played_per_day, skip_rate, device_type, ads_listened_per_week, offline_listening, is_churned
     24, Male  ,  44, CA     , Family           ,            134,                   97,      0.42, Web        ,                     0,                 1, No
     25, Other ,  32, CA     , Premium          ,            133,                   22,      0.59, Desktop    ,                     0,                 1, No
     26, Female,  19, US     , Student          ,             39,                   29,      0.53, Desktop    ,                     0,                 1, No
     27, Male  ,  28, IN     , Free             ,            293,                   67,      0.33, Mobile     ,                    23,                 0, Yes
     28, Other ,  58, FR     , Free             ,             15,                   55,      0.3 , Mobile     ,                    35,                 0, No
     29, Male  ,  33, FR     , Free             ,            123,                   13,      0.22, Desktop    ,                     7,                 0, No
     30, Female,  22, FR     , Premium          ,             18,                   12,      0.39, Mobile     ,                     0,                 1, No
     31, Other ,  44, UK     , Premium          ,            149,                   45,      0.22, Web        ,                     0,                 1, No
     32, Male  ,  53, US     , Student          ,             72,                   12,      0.17, Web        ,                     0,                 1, No
     33, Female,  49, IN     , Premium          ,            291,                   74,      0.11, Mobile     ,                     0,                 1, No
     34, Male  ,  49, US     , Family           ,            147,                   52,      0.43, Web        ,                     0,                 1, No
     35, Female,  55, FR     , Premium          ,             18,                    2,      0.04, Mobile     ,                     0,                 1, No
     36, Other ,  24, DE     , Free             ,             59,                   53,      0.18, Web        ,                    28,                 0, Yes
     37, Male  ,  22, DE     , Student          ,            280,                   99,      0.29, Desktop    ,                     0,                 1, No
     38, Female,  50, US     , Family           ,            117,                   98,      0.04, Mobile     ,                     0,                 1, No
     39, Female,  42, DE     , Family           ,             47,                   59,      0.06, Desktop    ,                     0,                 1, No
     40, Male  ,  17, DE     , Family           ,            260,                   44,      0.5 , Desktop    ,                     0,                 1, Yes
     41, Female,  51, UK     , Premium          ,            122,                   16,      0.54, Desktop    ,                     0,                 1, No
     42, Female,  46, US     , Student          ,            255,                   14,      0.39, Desktop    ,                     0,                 1, No
     43, Male  ,  22, DE     , Family           ,             49,                   39,      0.51, Mobile     ,                     0,                 1, No
     44, Male  ,  37, DE     , Family           ,             90,                   89,      0.4 , Mobile     ,                     0,                 1, No
     45, Male  ,  39, PK     , Family           ,            288,                   69,      0.48, Web        ,                     0,                 1, No
     46, Female,  18, PK     , Premium          ,            255,                    3,      0.39, Web        ,                     0,                 1, No
     47, Female,  56, CA     , Student          ,            255,                   75,      0.58, Desktop    ,                     0,                 1, No
     48, Male  ,  58, US     , Family           ,             26,                   23,      0.08, Mobile     ,                     0,                 1, No
     49, Other ,  59, US     , Family           ,            238,                   60,      0.29, Desktop    ,                     0,                 1, No
     50, Male  ,  50, PK     , Free             ,            241,                    7,      0.56, Desktop    ,                    22,                 0, Yes
     51, Female,  45, CA     , Premium          ,            124,                   98,      0.36, Desktop    ,                     0,                 1, No
     52, Other ,  56, FR     , Premium          ,            175,                   67,      0.38, Web        ,                     0,                 1, No
     53, Female,  38, AU     , Free             ,             41,                    3,      0.0 , Desktop    ,                    43,                 0, Yes
     54, Male  ,  57, DE     , Free             ,            222,                   96,      0.26, Web        ,                    15,                 0, No
     55, Female,  46, UK     , Family           ,            121,                   71,      0.32, Desktop    ,                     0,                 1, No
     56, Female,  41, IN     , Family           ,            277,                    2,      0.59, Web        ,                     0,                 1, No
     57, Other ,  19, IN     , Free             ,            107,                   82,      0.11, Desktop    ,                    12,                 0, Yes
     58, Male  ,  48, FR     , Student          ,            198,                   63,      0.23, Desktop    ,                     0,                 1, No
     59, Other ,  22, DE     , Free             ,             59,                   51,      0.42, Desktop    ,                    19,                 0, No
     60, Other ,  17, IN     , Student          ,             95,                   79,      0.53, Web        ,                     0,                 1, Yes
     61, Female,  25, UK     , Premium          ,            262,                   23,      0.17, Web        ,                     0,                 1, No
     62, Other ,  49, PK     , Student          ,            169,                   26,      0.56, Mobile     ,                     0,                 1, No
     63, Other ,  59, IN     , Free             ,             25,                   32,      0.2 , Mobile     ,                    38,                 0, No
     64, Female,  45, CA     , Family           ,             55,                   67,      0.51, Mobile     ,                     0,                 1, Yes
     65, Male  ,  45, IN     , Student          ,            161,                   42,      0.4 , Desktop    ,                     0,                 1, Yes
     66, Other ,  21, FR     , Family           ,             77,                   42,      0.56, Web        ,                     0,                 1, No
     67, Male  ,  45, DE     , Free             ,            152,                   32,      0.49, Mobile     ,                    14,                 0, Yes
     68, Female,  45, UK     , Free             ,            156,                   51,      0.14, Desktop    ,                    18,                 0, No
     69, Other ,  22, AU     , Student          ,             99,                   43,      0.17, Desktop    ,                     0,                 1, No
     70, Female,  56, US     , Free             ,            181,                   40,      0.21, Mobile     ,                    10,                 0, No
     71, Other ,  51, AU     , Student          ,            265,                   81,      0.36, Web        ,                     0,                 1, No
     72, Female,  22, AU     , Family           ,            131,                   70,      0.35, Web        ,                     0,                 1, No
     73, Other ,  33, CA     , Student          ,             19,                   68,      0.32, Desktop    ,                     0,                 1, Yes
     74, Other ,  59, AU     , Family           ,            201,                   15,      0.05, Mobile     ,                     0,                 1, No
     75, Male  ,  41, DE     , Family           ,            223,                   53,      0.33, Web        ,                     0,                 1, No
     76, Male  ,  25, UK     , Premium          ,            111,                   83,      0.19, Desktop    ,                     0,                 1, No
     77, Male  ,  41, FR     , Family           ,             81,                    6,      0.47, Mobile     ,                     0,                 1, No
     78, Other ,  30, FR     , Family           ,            124,                   73,      0.43, Mobile     ,                     0,                 1, No
     79, Male  ,  23, US     , Free             ,             13,                   30,      0.24, Mobile     ,                    32,                 0, No
     80, Female,  47, PK     , Premium          ,             31,                   72,      0.53, Desktop    ,                     0,                 1, Yes
     81, Male  ,  34, AU     , Premium          ,            277,                   87,      0.3 , Web        ,                     0,                 1, No
     82, Other ,  45, FR     , Student          ,            181,                   69,      0.59, Web        ,                     0,                 1, No
     83, Other ,  32, PK     , Free             ,            167,                    4,      0.56, Mobile     ,                    35,                 0, No
     84, Other ,  51, CA     , Free             ,            105,                   11,      0.03, Web        ,                    29,                 0, No
     85, Other ,  21, FR     , Student          ,            202,                   79,      0.45, Desktop    ,                     0,                 1, No
     86, Female,  20, IN     , Family           ,            284,                   38,      0.23, Web        ,                     0,                 1, No
     87, Male  ,  21, US     , Premium          ,            125,                   82,      0.43, Web        ,                     0,                 1, No
     88, Female,  44, UK     , Free             ,            237,                   36,      0.37, Web        ,                    20,                 0, No
     89, Other ,  50, PK     , Family           ,             99,                   15,      0.15, Mobile     ,                     0,                 1, No
     90, Other ,  52, DE     , Student          ,            224,                   49,      0.38, Desktop    ,                     0,                 1, No
     91, Male  ,  43, UK     , Free             ,            195,                   80,      0.17, Web        ,                    28,                 0, No
     92, Female,  41, PK     , Premium          ,            173,                   85,      0.22, Web        ,                     0,                 1, No
     93, Female,  57, IN     , Family           ,            210,                    7,      0.25, Web        ,                     0,                 1, No
     94, Other ,  50, UK     , Free             ,             85,                    7,      0.45, Desktop    ,                    44,                 0, No
     95, Female,  35, FR     , Family           ,             93,                    1,      0.4 , Mobile     ,                     0,                 1, No
     96, Other ,  51, IN     , Student          ,            222,                   97,      0.03, Desktop    ,                     0,                 1, Yes
     97, Male  ,  34, CA     , Premium          ,            196,                   69,      0.07, Web        ,                     0,                 1, No
     98, Female,  47, US     , Family           ,            215,                   13,      0.02, Mobile     ,                     0,                 1, Yes
     99, Male  ,  19, PK     , Family           ,             22,                   45,      0.29, Web        ,                     0,                 1, Yes
    100, Female,  30, UK     , Student          ,            283,                   13,      0.02, Desktop    ,                     0,                 1, No
    101, Female,  27, FR     , Free             ,             40,                   15,      0.5 , Web        ,                    16,                 0, No
    102, Male  ,  25, DE     , Student          ,            251,                   91,      0.12, Desktop    ,                     0,                 1, No
    103, Female,  47, AU     , Family           ,            240,                   61,      0.56, Mobile     ,                     0,                 1, No
    104, Male  ,  33, US     , Family           ,            160,                   76,      0.06, Web        ,                     0,                 1, No
    105, Male  ,  46, CA     , Free             ,            114,                   11,      0.24, Web        ,                    19,                 0, No
    106, Other ,  50, AU     , Student          ,            251,                    9,      0.39, Web        ,                     0,                 1, No
    107, Male  ,  31, FR     , Student          ,            181,                   89,      0.11, Desktop    ,                     0,                 1, Yes
    108, Female,  45, FR     , Premium          ,            215,                   16,      0.26, Web        ,                     0,                 1, No
    109, Male  ,  51, FR     , Student          ,            119,                   11,      0.05, Desktop    ,                     0,                 1, No
    110, Other ,  33, CA     , Premium          ,            224,                   34,      0.11, Mobile     ,                     0,                 1, No
    111, Male  ,  42, DE     , Premium          ,             31,                   61,      0.29, Mobile     ,                     0,                 1, No
    112, Male  ,  16, CA     , Family           ,             17,                   10,      0.27, Desktop    ,                     0,                 1, No
    113, Other ,  31, FR     , Student          ,            174,                   29,      0.13, Desktop    ,                     0,                 1, Yes
    114, Male  ,  40, AU     , Family           ,             31,                   48,      0.33, Web        ,                     0,                 1, No
    115, Male  ,  57, FR     , Student          ,             84,                   40,      0.58, Desktop    ,                     0,                 1, No
    116, Female,  17, CA     , Free             ,            198,                   31,      0.07, Web        ,                     6,                 0, No
    117, Male  ,  31, CA     , Student          ,            272,                   40,      0.12, Desktop    ,                     0,                 1, Yes
    118, Other ,  45, UK     , Family           ,             21,                   73,      0.16, Web        ,                     0,                 1, No
    119, Male  ,  59, PK     , Family           ,            251,                   47,      0.14, Mobile     ,                     0,                 1, No
    120, Other ,  49, PK     , Family           ,             95,                   81,      0.36, Mobile     ,                     0,                 1, No
    121, Male  ,  59, IN     , Student          ,            169,                   20,      0.18, Desktop    ,                     0,                 1, Yes
    122, Male  ,  47, DE     , Premium          ,             35,                   20,      0.32, Desktop    ,                     0,                 1, Yes
    123, Male  ,  21, US     , Free             ,             32,                   34,      0.52, Web        ,                    14,                 0, Yes
    124, Female,  28, DE     , Free             ,             55,                   67,      0.53, Desktop    ,                     7,                 0, No
    125, Female,  47, US     , Family           ,            120,                   26,      0.48, Desktop    ,                     0,                 1, No
    126, Female,  46, IN     , Free             ,             11,                   67,      0.4 , Desktop    ,                    36,                 0, Yes
    127, Female,  20, US     , Premium          ,            194,                   52,      0.2 , Mobile     ,                     0,                 1, No
    128, Female,  34, PK     , Premium          ,             81,                   85,      0.29, Web        ,                     0,                 1, No
    129, Other ,  24, DE     , Free             ,            217,                   52,      0.45, Web        ,                    23,                 0, No
    130, Male  ,  40, US     , Premium          ,             11,                   11,      0.42, Web        ,                     0,                 1, Yes
    131, Male  ,  48, UK     , Free             ,             72,                   35,      0.53, Desktop    ,                    22,                 0, No
    132, Other ,  47, PK     , Premium          ,            162,                   94,      0.29, Desktop    ,                     0,                 1, No
    133, Female,  33, IN     , Family           ,            271,                   57,      0.36, Mobile     ,                     0,                 1, Yes
    134, Male  ,  20, US     , Premium          ,            218,                    6,      0.02, Desktop    ,                     0,                 1, Yes
    135, Other ,  55, DE     , Family           ,             94,                   24,      0.3 , Web        ,                     0,                 1, No
    136, Male  ,  58, CA     , Student          ,            295,                   72,      0.43, Desktop    ,                     0,                 1, No
    137, Other ,  41, US     , Premium          ,            286,                   35,      0.42, Desktop    ,                     0,                 1, No
    138, Other ,  53, US     , Student          ,            298,                   37,      0.5 , Mobile     ,                     0,                 1, No
    139, Female,  50, CA     , Family           ,            261,                   20,      0.39, Desktop    ,                     0,                 1, Yes
    140, Other ,  55, US     , Free             ,            201,                   82,      0.5 , Desktop    ,                    27,                 0, Yes
    141, Female,  56, US     , Free             ,             40,                   84,      0.56, Web        ,                    49,                 0, No
    142, Other ,  18, AU     , Premium          ,             30,                   78,      0.42, Mobile     ,                     0,                 1, No
    143, Male  ,  29, CA     , Student          ,            109,                   88,      0.45, Web        ,                     0,                 1, Yes
    144, Female,  28, UK     , Premium          ,            171,                   19,      0.48, Mobile     ,                     0,                 1, Yes
    145, Male  ,  24, PK     , Family           ,            223,                   31,      0.09, Mobile     ,                     0,                 1, No
    146, Other ,  44, AU     , Family           ,             52,                   17,      0.2 , Desktop    ,                     0,                 1, No
    147, Other ,  18, IN     , Family           ,            195,                   94,      0.49, Desktop    ,                     0,                 1, No
    148, Other ,  40, PK     , Premium          ,            198,                   78,      0.0 , Desktop    ,                     0,                 1, No
    149, Other ,  22, DE     , Student          ,            285,                    2,      0.3 , Desktop    ,                     0,                 1, No
    150, Male  ,  34, FR     , Premium          ,            278,                   83,      0.24, Desktop    ,                     0,                 1, No
    151, Male  ,  44, AU     , Premium          ,            251,                   57,      0.37, Desktop    ,                     0,                 1, No
    152, Male  ,  58, US     , Student          ,            158,                   52,      0.27, Mobile     ,                     0,                 1, No
    153, Female,  41, PK     , Family           ,             14,                   41,      0.59, Web        ,                     0,                 1, No
    154, Female,  52, UK     , Premium          ,            280,                   81,      0.27, Desktop    ,                     0,                 1, Yes
    155, Male  ,  26, IN     , Student          ,            257,                   14,      0.13, Web        ,                     0,                 1, No
    156, Other ,  42, CA     , Family           ,             21,                   76,      0.56, Web        ,                     0,                 1, Yes
    157, Other ,  27, PK     , Free             ,            237,                   27,      0.16, Web        ,                    40,                 0, No
    158, Other ,  48, DE     , Free             ,            224,                   53,      0.07, Mobile     ,                    43,                 0, No
    159, Other ,  24, AU     , Family           ,            216,                   76,      0.28, Mobile     ,                     0,                 1, No
    160, Other ,  34, CA     , Premium          ,            137,                   97,      0.32, Web        ,                     0,                 1, No
    161, Other ,  28, DE     , Free             ,            209,                   84,      0.53, Web        ,                    28,                 0, No
    162, Female,  17, FR     , Free             ,             36,                   30,      0.19, Mobile     ,                    43,                 0, Yes
    163, Other ,  50, PK     , Free             ,             95,                   50,      0.49, Desktop    ,                    31,                 0, Yes
    164, Female,  35, AU     , Premium          ,            298,                   25,      0.11, Mobile     ,                     0,                 1, Yes
    165, Male  ,  20, DE     , Family           ,            224,                   51,      0.23, Desktop    ,                     0,                 1, Yes
    166, Female,  50, PK     , Free             ,            205,                   43,      0.48, Desktop    ,                    47,                 0, No
    167, Male  ,  23, FR     , Student          ,             95,                   31,      0.37, Web        ,                     0,                 1, No
    168, Other ,  20, UK     , Free             ,            289,                   17,      0.28, Desktop    ,                    35,                 0, No
    169, Male  ,  51, CA     , Premium          ,            168,                   28,      0.54, Web        ,                     0,                 1, No
    170, Female,  18, PK     , Free             ,            211,                   48,      0.48, Mobile     ,                    23,                 0, Yes
    171, Male  ,  29, DE     , Premium          ,             63,                   99,      0.38, Mobile     ,                     0,                 1, No
    172, Male  ,  39, DE     , Free             ,            124,                   83,      0.52, Mobile     ,                    35,                 0, No
    173, Other ,  51, CA     , Family           ,            275,                   56,      0.05, Web        ,                     0,                 1, No
    174, Male  ,  24, PK     , Student          ,            120,                   38,      0.11, Mobile     ,                     0,                 1, No
    175, Male  ,  20, DE     , Free             ,             64,                   20,      0.16, Mobile     ,                    20,                 0, Yes
    176, Female,  57, UK     , Premium          ,            121,                   86,      0.08, Web        ,                     0,                 1, Yes
    177, Other ,  16, AU     , Free             ,            184,                   12,      0.2 , Desktop    ,                    15,                 0, No
    178, Male  ,  18, PK     , Family           ,            219,                   54,      0.06, Web        ,                     0,                 1, No
    179, Male  ,  16, DE     , Free             ,            184,                   40,      0.01, Mobile     ,                     9,                 0, No
    180, Female,  50, UK     , Family           ,             30,                   37,      0.25, Desktop    ,                     0,                 1, Yes
    181, Male  ,  23, DE     , Free             ,             55,                   46,      0.41, Desktop    ,                     7,                 0, No
    182, Female,  53, AU     , Premium          ,             38,                    4,      0.09, Mobile     ,                     0,                 1, No
    183, Male  ,  58, CA     , Premium          ,            281,                   58,      0.16, Desktop    ,                     0,                 1, No
    184, Female,  31, DE     , Premium          ,            140,                   57,      0.35, Mobile     ,                     0,                 1, Yes
    185, Female,  19, US     , Student          ,            130,                   17,      0.35, Desktop    ,                     0,                 1, No
    186, Female,  36, US     , Student          ,            238,                   82,      0.35, Web        ,                     0,                 1, Yes
    187, Other ,  19, PK     , Premium          ,            295,                   53,      0.55, Web        ,                     0,                 1, Yes
    188, Other ,  26, IN     , Free             ,            265,                   31,      0.41, Web        ,                    38,                 0, No
    189, Other ,  16, US     , Student          ,            179,                   80,      0.6 , Desktop    ,                     0,                 1, No
    190, Other ,  49, AU     , Free             ,            198,                    4,      0.1 , Desktop    ,                    36,                 0, No
    191, Female,  55, UK     , Premium          ,            180,                   17,      0.08, Web        ,                     0,                 1, No
    192, Other ,  21, DE     , Student          ,            267,                   89,      0.52, Web        ,                     0,                 1, No
    193, Other ,  48, CA     , Free             ,            126,                   22,      0.58, Mobile     ,                    45,                 0, No
    194, Female,  38, IN     , Family           ,            233,                   94,      0.29, Web        ,                     0,                 1, Yes
    195, Male  ,  59, PK     , Student          ,            161,                   95,      0.59, Desktop    ,                     0,                 1, Yes
    196, Female,  31, CA     , Student          ,            100,                   70,      0.43, Mobile     ,                     0,                 1, No
    197, Female,  24, US     , Student          ,            240,                   45,      0.53, Web        ,                     0,                 1, Yes
    198, Male  ,  55, UK     , Student          ,            170,                   95,      0.45, Mobile     ,                     0,                 1, No
    199, Male  ,  53, UK     , Family           ,            150,                   29,      0.18, Desktop    ,                     0,                 1, No
    200, Other ,  31, US     , Family           ,            203,                   79,      0.15, Web        ,                     0,                 1, No
    201, Female,  49, AU     , Free             ,            226,                   31,      0.24, Desktop    ,                    32,                 0, No
    202, Other ,  49, UK     , Premium          ,             31,                   93,      0.03, Desktop    ,                     0,                 1, No
    203, Female,  33, DE     , Premium          ,             81,                   34,      0.09, Mobile     ,                     0,                 1, No
    204, Other ,  59, PK     , Free             ,             62,                   99,      0.55, Mobile     ,                     5,                 0, No
    205, Female,  58, AU     , Free             ,            202,                   22,      0.45, Mobile     ,                    36,                 0, No
    206, Other ,  49, PK     , Free             ,            207,                   33,      0.09, Web        ,                     9,                 0, Yes
    207, Male  ,  42, DE     , Student          ,             20,                   38,      0.6 , Web        ,                     0,                 1, No
    208, Other ,  24, AU     , Free             ,            113,                   42,      0.56, Desktop    ,                    32,                 0, Yes
    209, Male  ,  33, IN     , Free             ,            168,                   42,      0.12, Desktop    ,                    49,                 0, No
    210, Other ,  20, IN     , Student          ,            251,                   79,      0.37, Web        ,                     0,                 1, No
    211, Other ,  42, IN     , Free             ,            222,                   95,      0.04, Desktop    ,                    29,                 0, No
    212, Female,  16, DE     , Free             ,             74,                   33,      0.12, Mobile     ,                    13,                 0, No
    213, Male  ,  37, CA     , Premium          ,            139,                   71,      0.16, Desktop    ,                     0,                 1, No
    214, Female,  26, FR     , Free             ,            160,                   23,      0.06, Web        ,                    45,                 0, No
    215, Other ,  46, US     , Premium          ,             37,                   94,      0.37, Web        ,                     0,                 1, No
    216, Male  ,  36, US     , Family           ,            199,                    4,      0.12, Desktop    ,                     0,                 1, No
    217, Other ,  32, FR     , Free             ,            204,                   87,      0.42, Desktop    ,                    14,                 0, No
    218, Other ,  18, IN     , Family           ,            181,                   67,      0.56, Desktop    ,                     0,                 1, Yes
    219, Other ,  20, DE     , Premium          ,            269,                    4,      0.31, Web        ,                     0,                 1, No
    220, Female,  19, IN     , Free             ,            245,                    9,      0.07, Mobile     ,                    42,                 0, No
    221, Other ,  34, CA     , Student          ,             50,                   54,      0.59, Web        ,                     0,                 1, No
    222, Other ,  50, DE     , Student          ,            272,                   46,      0.12, Web        ,                     0,                 1, No
    223, Other ,  36, FR     , Family           ,            271,                   26,      0.5 , Web        ,                     0,                 1, No
    224, Other ,  53, DE     , Student          ,            252,                   68,      0.04, Web        ,                     0,                 1, Yes
    225, Female,  31, PK     , Student          ,            155,                    2,      0.36, Desktop    ,                     0,                 1, Yes
    226, Female,  40, FR     , Free             ,             66,                   80,      0.02, Mobile     ,                    48,                 0, Yes
    227, Female,  41, CA     , Student          ,             51,                   26,      0.19, Web        ,                     0,                 1, No
    228, Male  ,  27, UK     , Free             ,            174,                    6,      0.54, Mobile     ,                     7,                 0, No
    229, Other ,  52, DE     , Student          ,            165,                   20,      0.01, Desktop    ,                     0,                 1, Yes
    230, Other ,  49, AU     , Premium          ,             73,                   39,      0.11, Mobile     ,                     0,                 1, No
    231, Male  ,  51, DE     , Student          ,             10,                   11,      0.09, Web        ,                     0,                 1, No
    232, Female,  19, FR     , Premium          ,            279,                   26,      0.03, Web        ,                     0,                 1, No
    233, Male  ,  41, UK     , Free             ,            222,                    4,      0.06, Mobile     ,                    26,                 0, Yes
    234, Male  ,  49, DE     , Premium          ,             39,                    6,      0.54, Web        ,                     0,                 1, No
    235, Male  ,  17, FR     , Premium          ,             40,                   97,      0.08, Mobile     ,                     0,                 1, Yes
    236, Female,  22, UK     , Premium          ,            254,                   86,      0.45, Desktop    ,                     0,                 1, Yes
    237, Male  ,  31, UK     , Family           ,            227,                   23,      0.55, Mobile     ,                     0,                 1, Yes
    238, Female,  19, FR     , Premium          ,            244,                    5,      0.34, Web        ,                     0,                 1, No
    239, Female,  37, CA     , Free             ,            113,                   85,      0.23, Mobile     ,                    27,                 0, Yes
    240, Female,  43, UK     , Free             ,            218,                    6,      0.01, Mobile     ,                    15,                 0, Yes
    241, Male  ,  29, UK     , Free             ,            144,                   94,      0.33, Desktop    ,                    19,                 0, No
    242, Female,  51, CA     , Premium          ,            143,                   48,      0.09, Web        ,                     0,                 1, No
    243, Male  ,  41, CA     , Premium          ,            110,                   61,      0.44, Mobile     ,                     0,                 1, No
    244, Other ,  24, FR     , Family           ,            283,                   90,      0.53, Web        ,                     0,                 1, No
    245, Other ,  19, PK     , Premium          ,            276,                   15,      0.28, Mobile     ,                     0,                 1, No
    246, Male  ,  48, IN     , Premium          ,            178,                   70,      0.29, Desktop    ,                     0,                 1, No
    247, Other ,  37, US     , Premium          ,            114,                   13,      0.49, Desktop    ,                     0,                 1, No
    248, Female,  59, US     , Free             ,             98,                   24,      0.32, Mobile     ,                     8,                 0, No
    249, Female,  54, IN     , Family           ,             49,                   27,      0.29, Mobile     ,                     0,                 1, No
    250, Female,  36, AU     , Premium          ,             28,                   39,      0.27, Web        ,                     0,                 1, No
    251, Other ,  58, FR     , Premium          ,            259,                   67,      0.17, Mobile     ,                     0,                 1, No
    252, Other ,  20, CA     , Free             ,            279,                   84,      0.43, Desktop    ,                    24,                 0, No
    253, Other ,  18, AU     , Premium          ,            139,                   58,      0.09, Web        ,                     0,                 1, Yes
    254, Female,  35, DE     , Free             ,             53,                   97,      0.45, Desktop    ,                    29,                 0, No
    255, Male  ,  57, UK     , Family           ,            255,                   82,      0.19, Mobile     ,                     0,                 1, No
    256, Other ,  55, CA     , Premium          ,            259,                   20,      0.01, Mobile     ,                     0,                 1, No
    257, Other ,  53, PK     , Free             ,            112,                   33,      0.34, Mobile     ,                    30,                 0, No
    258, Other ,  22, US     , Premium          ,            260,                   75,      0.36, Web        ,                     0,                 1, No
    259, Other ,  51, IN     , Premium          ,             91,                    3,      0.49, Desktop    ,                     0,                 1, No
    260, Female,  43, PK     , Free             ,             92,                   18,      0.19, Mobile     ,                    25,                 0, No
    261, Other ,  37, AU     , Free             ,            140,                   14,      0.02, Mobile     ,                    31,                 0, No
    262, Male  ,  29, US     , Premium          ,            259,                   28,      0.19, Desktop    ,                     0,                 1, Yes
    263, Male  ,  17, UK     , Student          ,            119,                   73,      0.22, Desktop    ,                     0,                 1, No
    264, Male  ,  36, IN     , Student          ,             99,                   92,      0.54, Web        ,                     0,                 1, Yes
    265, Male  ,  53, AU     , Free             ,            265,                   49,      0.2 , Desktop    ,                    41,                 0, Yes
    266, Female,  54, IN     , Premium          ,            299,                   93,      0.27, Mobile     ,                     0,                 1, Yes
    267, Female,  59, AU     , Free             ,            255,                   75,      0.56, Web        ,                    38,                 0, No
    268, Other ,  42, DE     , Family           ,            157,                   96,      0.48, Web        ,                     0,                 1, Yes
    269, Other ,  36, AU     , Family           ,            176,                   15,      0.11, Mobile     ,                     0,                 1, No
    270, Female,  22, AU     , Student          ,            146,                   45,      0.44, Mobile     ,                     0,                 1, No
    271, Male  ,  19, DE     , Family           ,            211,                   64,      0.15, Mobile     ,                     0,                 1, No
    272, Male  ,  47, IN     , Premium          ,            191,                   42,      0.52, Mobile     ,                     0,                 1, Yes
    273, Male  ,  29, CA     , Premium          ,            218,                   72,      0.29, Mobile     ,                     0,                 1, No
    274, Other ,  32, CA     , Family           ,            128,                   94,      0.48, Web        ,                     0,                 1, No
    275, Other ,  47, US     , Free             ,             30,                   10,      0.38, Web        ,                    37,                 0, No
    276, Male  ,  30, DE     , Family           ,            176,                   17,      0.35, Mobile     ,                     0,                 1, No
    277, Male  ,  23, UK     , Premium          ,             50,                   45,      0.08, Mobile     ,                     0,                 1, No
    278, Other ,  37, FR     , Free             ,            267,                   72,      0.12, Desktop    ,                    38,                 0, No
    279, Other ,  17, PK     , Student          ,             20,                   84,      0.45, Web        ,                     0,                 1, No
    280, Female,  45, US     , Family           ,            134,                   92,      0.31, Mobile     ,                     0,                 1, No
    281, Female,  42, AU     , Student          ,            282,                   57,      0.31, Mobile     ,                     0,                 1, No
    282, Male  ,  42, US     , Premium          ,             52,                   55,      0.05, Web        ,                     0,                 1, Yes
    283, Other ,  31, AU     , Premium          ,             97,                   37,      0.59, Web        ,                     0,                 1, No
    284, Female,  53, IN     , Free             ,             58,                   63,      0.45, Mobile     ,                    45,                 0, No
    285, Other ,  47, AU     , Premium          ,            126,                   71,      0.29, Desktop    ,                     0,                 1, Yes
    286, Female,  40, FR     , Premium          ,            172,                   48,      0.54, Web        ,                     0,                 1, No
